Index,loudness
201,-9.628
202,-8.46
203,-3.736
204,-4.376
205,-6.947
206,-12.279
207,-15.736
208,-5.871
209,-12.053
210,-6.248
211,-13.703
212,-9.716
213,-6.258
214,-11.702
215,-14.509
216,-9.062
217,-6.788
218,-12.772
219,-9.258
221,-8.161
222,-6.751
224,-12.658
225,-6.546
226,-17.522
227,-10.777
228,-9.993
229,-12.99
230,-8.339
231,-6.531
232,-6.933
233,-4.178
234,-8.91
235,-2.069
236,-16.844
237,-3.803
238,-10.57
239,-6.694
240,-16.753
241,-4.376
243,-1.843
244,-3.937
245,-16.006
247,-7.614
248,-10.274
249,-5.912
250,-7.108
251,-15.578
252,-9.334
253,-16.942
254,-6.021
255,-13.135
256,-6.893
257,-9.506
258,-7.255
259,-7.684
260,-12.385
261,-4.779
262,-11.356
263,-8.147
264,-6.582
265,-16.527
266,-10.173
267,-14.123
268,-5.483
269,-7.307
270,-12.75
271,-10.328
272,-9.668
273,-5.444
274,-4.144
275,-18.349
277,-11.877
278,-5.627
279,-1.998
280,-7.901
281,-8.798
282,-5.934
283,-10.7
284,-4.332
285,-15.672
286,-15.54
287,-14.621
288,-11.428
289,-11.273
290,-9.745
291,-10.917
293,-14.449
294,-7.535
295,-10.918
297,-12.77
298,-15.574
299,-9.79
301,-5.533
302,-8.901
303,-15.915
304,-8.489
305,-13.366
306,-5.947
307,-13.826
308,-11.488
309,-9.28
310,-7.928
311,-14.367
312,-7.598
313,-2.939
314,-8.632
315,-14.544
316,-7.605
317,-13.256
318,-7.225
319,-8.422
320,-5.12
322,-8.041
323,-10.957
324,-14.835
326,-10.683
327,-18.703
328,-9.672
329,-10.754
330,-8.372
331,-4.37
332,-15.599
333,-6.358
334,-7.884
335,-5.134
336,-4.954
338,-15.672
340,-11.255
341,-11.494
342,-7.427
343,-16.113
344,-9.843
345,-17.492
346,-6.301
347,-6.294
348,-7.64
349,-18.341
351,-4.169
352,-6.977
353,-14.041
354,-16.994
355,-12
356,-7.626
357,-6.318
358,-12.811
359,-9.448
360,-10.398
361,-5.537
362,-7.513
363,-17.16
364,-9.788
365,-4.053
366,-3.159
367,-13.781
368,-10.968
369,-6.996
370,-14.014
371,-2.838
372,-15.046
373,-15.008
374,-8.916
375,-6.908
376,-9.371
377,-5.234
378,-2.704
379,-3.325
380,-8.933
381,-8.548
382,-18.397
383,-7.812
384,-8.499
385,-5.165
386,-10.274
387,-12.708
388,-5.797
390,-7.113
391,-7.467
392,-18.724
393,-5.386
394,-4.583
395,-5.893
396,-17.805
397,-4.228
398,-7.693
399,-6.622
401,-2.315
402,-8.299
403,-12.752
404,-13.078
405,-10.231
406,-11.26
407,-3.573
409,-12.091
410,-8.576
411,-6.832
412,-13.481
413,-6.746
414,-16.077
415,-10.324
416,-13.456
417,-12.084
419,-6.608
420,-7.758
421,-8.832
422,-7.458
423,-14.952
424,-12.102
425,-15.598
426,-12.01
427,-4.507
428,-5.568
429,-9.636
430,-9.559
431,-4.621
432,-3.536
433,-5.786
434,-8.089
435,-7.834
436,-3.319
437,-4.806
438,-10.895
439,-10.862
440,-9.513
441,-7.301
442,-3.637
443,-7.041
444,-11.927
445,-4.941
446,-13.103
447,-13.134
448,-9.224
450,-5.653
451,-8.654
453,-6.206
454,-14.979
455,-10.45
456,-4.179
457,-8.471
458,-14.688
459,-6.816
460,-6.609
461,-14.217
462,-11.661
463,-3.806
465,-6.481
466,-18.863
467,-9.131
468,-7.714
469,-5.68
470,-6.825
471,-7.499
472,-10.225
473,-7.711
474,-18.91
475,-9.718
476,-8.942
477,-9.464
478,-3.47
479,-10.453
480,-7.188
481,-10.269
482,-4.969
483,-16.051
484,-9.899
486,-3.235
487,-5.959
488,-13.777
489,-13.774
490,-7.114
491,-7.249
492,-3.865
493,-6.503
494,-13.462
495,-9.846
496,-6.014
497,-6.181
498,-14.816
499,-6.435
501,-15.148
502,-11.97
503,-9.996
504,-17.611
505,-7.401
508,-8.734
509,-12.552
510,-9.903
511,-9.186
512,-7.315
513,-7.951
514,-6.26
516,-3.951
517,-5.766
518,-6.883
519,-8.72
520,-5.208
521,-11.549
522,-10.918
523,-10.85
524,-10.881
525,-9.469
526,-6.931
527,-12.677
528,-10.586
529,-12.389
530,-10.483
531,-4.314
533,-9.393
534,-6.762
535,-10.72
536,-6.084
537,-5.66
538,-16.113
539,-9.647
540,-3.017
541,-6.282
542,-5.703
543,-7.743
544,-10.275
545,-14.891
546,-3.91
547,-13.876
548,-9.586
549,-7.719
550,-14.934
551,-4.44
552,-6.876
553,-7.803
554,-2.542
555,-5.728
556,-8.135
557,-5.799
558,-11.937
559,-6.033
560,-3.028
561,-13.992
562,-6.464
563,-8.226
564,-15.624
565,-7.461
566,-5.648
567,-7.199
568,-3.584
569,-5.963
570,-10.548
571,-7.381
572,-7
573,-11.415
574,-16.357
575,-8.132
576,-9.56
577,-4.714
578,-16.263
579,-9.699
580,-4.141
581,-13.047
582,-4.541
583,-6.311
584,-10.3
585,-10.609
586,-12.649
588,-10.976
589,-6.022
590,-14.489
591,-8.521
592,-15.546
593,-8.952
594,-7.329
595,-6.446
596,-10.844
597,-16.504
598,-10.086
599,-8.579
600,-7.74
601,-6.366
602,-4.683
603,-9.01
605,-12.22
606,-5.953
607,-7.31
608,-8.224
609,-12.437
612,-10.362
613,-8.525
614,-7.7
615,-6.051
616,-5.779
617,-11.236
618,-4.998
619,-10.196
620,-8.521
621,-13.512
623,-12.298
624,-10.203
625,-5.492
626,-9.848
627,-7.736
628,-12.714
629,-13.607
630,-9.883
631,-4.852
632,-5.981
633,-17.714
634,-5.202
635,-12.743
636,-5.644
638,-5.724
639,-9.249
640,-10.764
641,-9.479
642,-15.279
643,-10.653
644,-9.035
646,-18.245
648,-3.306
650,-18.152
651,-13.12
652,-6.097
653,-9.99
654,-14.876
655,-9.221
656,-6.589
657,-8.983
658,-8.189
659,-2.001
660,-9.148
661,-7.232
662,-18.263
663,-15.01
665,-7.071
666,-7.974
669,-4.134
670,-11.828
671,-14.28
672,-6.076
673,-7.397
674,-17.91
675,-11.766
676,-6.664
677,-2.844
678,-11.473
679,-7.434
681,-9.911
682,-7.769
683,-1.622
684,-3.753
685,-17.941
686,-12.597
687,-9.042
688,-3.854
689,-16.884
690,-3.826
692,-3.959
693,-8.726
694,-13.873
695,-6.748
696,-8.225
697,-8.612
698,-9.074
699,-14.493
700,-15.653
701,-8.57
702,-9.492
703,-12.371
704,-11.124
705,-9.105
706,-7.005
707,-12.839
708,-15.777
709,-12.586
710,-4.379
711,-10.56
712,-7.837
713,-14.711
714,-4.994
715,-16.724
716,-5.025
717,-9.191
718,-7.087
719,-12.161
720,-9.033
721,-11.459
722,-8.506
723,-11.663
724,-11.105
725,-6.774
726,-13.637
727,-9.517
728,-9.693
729,-9.381
730,-2.999
731,-11.484
732,-4.442
733,-11.404
734,-7.634
735,-11.255
736,-12.436
737,-5.945
738,-12.935
739,-15.995
740,-8.41
741,-12.593
742,-13.592
743,-6.186
744,-11.851
745,-16.05
747,-15.755
748,-3.973
749,-18.169
750,-4.188
751,-2.599
752,-5.614
753,-8.733
754,-4.62
755,-18.713
756,-9.449
757,-8.665
759,-1.479
760,-13.763
761,-15.164
762,-5.298
763,-5.737
765,-16.215
766,-13.792
767,-5.849
768,-18.719
769,-8.962
770,-8.754
771,-8.596
772,-8.09
773,-8.405
774,-9.139
775,-16.937
776,-2.397
777,-11.814
778,-4.99
779,-8.871
781,-11.216
782,-7.688
783,-12.584
784,-4.238
785,-11.508
786,-4.184
787,-11.448
788,-12.139
789,-11.156
790,-15.926
791,-13.898
792,-5.434
793,-7.162
794,-17.019
795,-3.487
796,-6.475
797,-10.727
798,-4.732
799,-6.318
800,-12.469
801,-8.077
802,-6.473
803,-12.468
804,-7.654
805,-7.551
806,-4.853
807,-2.617
808,-8.774
809,-8.691
810,-9.65
811,-6.917
812,-14.293
813,-6.53
814,-7.405
815,-11.536
816,-7.462
817,-6.654
818,-5.911
819,-11.786
820,-9.614
821,-2.932
822,-4.002
823,-14.51
824,-6.518
825,-8.005
826,-9.84
827,-10.566
828,-13.224
829,-5.993
830,-18.184
831,-6.478
832,-8.334
833,-7.865
834,-9.89
835,-7.657
836,-16.336
837,-4.639
838,-5.155
839,-7.54
841,-5.498
842,-6.375
843,-5.991
844,-11.857
845,-5.371
846,-13.179
847,-10.791
848,-4.568
849,-4.059
850,-8.493
851,-3.049
852,-5.573
853,-4.812
854,-7.751
856,-7.693
857,-5.946
858,-6.942
859,-6.017
860,-4.022
861,-6.533
862,-4.982
864,-7.268
865,-13.159
866,-10.72
867,-10.612
868,-17.057
869,-10.393
870,-8.154
871,-3.287
872,-6.241
873,-11.931
874,-10.037
875,-18.533
876,-12.21
877,-9.055
878,-10.803
879,-11.359
880,-13.227
881,-12.91
882,-7.582
883,-5.764
884,-6.356
885,-13.42
886,-17.263
887,-16.021
888,-12.392
890,-8.301
891,-11.258
893,-5.304
894,-5.516
895,-12.838
896,-2.968
897,-2.769
898,-6.724
899,-8.672
900,-14.409
901,-12.708
902,-8.059
903,-17.92
904,-7.356
905,-5.814
906,-4.854
907,-5.906
908,-7.299
909,-14.094
910,-5.563
911,-6.675
912,-7.382
913,-16.163
914,-7.145
915,-15.889
916,-7.123
917,-8.493
918,-6.36
919,-7.15
920,-5.56
922,-4.834
923,-18.118
924,-15.668
925,-12.548
926,-15.305
927,-14.919
928,-8.874
929,-13.659
930,-5.16
931,-4.394
933,-4.166
935,-3.062
936,-5.869
937,-3.947
938,-8.273
939,-3.741
940,-17.661
941,-4.771
942,-3.766
943,-8.775
945,-5.575
946,-6.519
947,-10.484
948,-9.627
949,-11.696
950,-5.508
951,-10.551
952,-14.178
953,-9.302
954,-16.398
955,-4.465
956,-5.384
957,-5.152
958,-9.811
959,-9.894
960,-7.68
961,-9.917
962,-5.306
963,-8.591
964,-4.678
965,-9.296
966,-18.354
967,-9.528
969,-5.695
970,-7.207
971,-3.258
972,-5.084
973,-10.284
974,-14.04
975,-9.727
976,-6.016
977,-7.877
978,-6.695
979,-8.25
981,-3.942
982,-6.129
983,-5.864
984,-6.107
985,-14.286
986,-12.026
987,-3.871
988,-2.192
989,-2.679
990,-9.725
991,-2.928
992,-3.918
993,-8.096
994,-3.961
995,-9.96
996,-10.872
997,-13.991
998,-8.246
999,-10.621
1000,-7.286
1001,-13.578
1002,-5.286
1003,-8.301
1004,-14.44
1005,-10.42
1006,-7.768
1007,-10.486
1008,-9.057
1009,-7.998
1010,-10.557
1011,-6.025
1012,-6.618
1013,-6.067
1014,-6.61
1015,-6.163
1016,-6.83
1017,-15.076
1018,-6.199
1019,-3.257
1020,-10.62
1021,-9.978
1022,-13.192
1023,-5.896
1024,-5.129
1025,-7.163
1026,-7.442
1027,-11.31
1028,-6.206
1029,-9.905
1030,-8.878
1031,-10.997
1032,-13.633
1034,-13.816
1036,-13.163
1037,-8.826
1038,-18.935
1039,-10.494
1040,-17.437
1041,-11.706
1042,-13.762
1043,-7.996
1044,-10.239
1045,-1.723
1046,-3.593
1047,-5.4
1048,-5.654
1049,-5.716
1051,-11.567
1052,-5.111
1053,-4.736
1054,-5.227
1055,-5.419
1056,-12.384
1057,-10.475
1058,-9.433
1059,-2.844
1060,-6.677
1061,-8.311
1062,-8.815
1063,-11.71
1064,-8.4
1066,-8.788
1067,-11.537
1069,-5.098
1071,-13.613
1072,-12.806
1073,-1.977
1074,-5.627
1075,-4.398
1076,-7.683
1078,-16.399
1079,-15.55
1080,-7.622
1081,-5.8
1082,-5.75
1083,-13.688
1084,-6.89
1085,-11.212
1086,-5.378
1087,-11.611
1088,-5.962
1089,-10.99
1090,-13.11
1092,-4.613
1093,-8.311
1094,-5.871
1095,-6.81
1096,-15.732
1097,-10.002
1098,-7.168
1099,-9.823
1100,-13.074
1101,-6.652
1102,-5.762
1103,-6.992
1104,-14.301
1105,-9.344
1106,-10.175
1107,-4.231
1108,-10.241
1109,-9.535
1110,-3.38
1111,-5.085
1112,-6.874
1113,-9.073
1114,-15.872
1115,-15.754
1116,-12.149
1117,-8.251
1118,-7.183
1120,-15.661
1121,-13.345
1123,-13.276
1124,-7.711
1125,-7.165
1126,-5.425
1127,-7.46
1128,-5.807
1129,-6.942
1130,-5.041
1131,-11.837
1132,-16.408
1133,-6.481
1134,-5.243
1135,-11.947
1136,-9.839
1137,-13.242
1138,-14.252
1139,-10.823
1140,-17.169
1141,-7.564
1142,-3.545
1143,-4.181
1145,-8.432
1147,-14.23
1148,-6.465
1149,-14.443
1150,-14.233
1151,-14.669
1153,-10.794
1154,-13.115
1155,-14.338
1156,-14.173
1157,-17.242
1158,-15
1160,-4.165
1161,-7.329
1162,-3.884
1163,-10.491
1164,-10.468
1165,-6.255
1166,-8.069
1167,-13.686
1168,-9.769
1169,-18.86
1170,-11.4
1171,-13.569
1172,-13.311
1173,-3.352
1174,-14.445
1175,-7.306
1176,-12.471
1177,-6.917
1178,-7.078
1179,-7.404
1180,-14.206
1181,-12.338
1182,-8.328
1183,-6.069
1184,-10.623
1185,-7.705
1186,-6.419
1187,-6.451
1188,-10.623
1189,-16.136
1190,-14.157
1191,-16.063
1192,-17.307
1193,-8.085
1194,-14.736
1195,-14.188
1196,-4.854
1197,-8.748
1198,-14.755
1199,-6.427
1200,-14.002
1202,-15.655
1203,-8.78
1204,-13.89
1205,-11.516
1206,-3.985
1207,-7.717
1208,-6.643
1209,-9.503
1210,-6.467
1211,-5.721
1212,-4.272
1213,-8.032
1214,-13.626
1215,-13.984
1216,-11.524
1217,-11.528
1218,-16.538
1219,-12.679
1220,-12.088
1222,-12.1
1223,-10.943
1224,-11.338
1226,-10.648
1227,-6.601
1228,-5.977
1229,-13.812
1230,-14.073
1232,-9.853
1233,-14.775
1234,-9.495
1235,-5.704
1236,-4.947
1237,-3.738
1238,-13.771
1239,-5.431
1240,-13.778
1241,-3.619
1242,-17.337
1243,-11.448
1244,-6.828
1245,-17.114
1246,-4.68
1247,-6.873
1248,-16.427
1249,-5.065
1250,-4.462
1251,-6.855
1252,-15.586
1253,-6.01
1254,-11.027
1255,-10.718
1256,-9.532
1257,-10.261
1258,-14.088
1259,-4.573
1260,-11.803
1262,-8.392
1263,-7.123
1264,-9.76
1265,-15.571
1266,-8.686
1267,-11.433
1268,-12.767
1269,-8.07
1270,-14.403
1271,-4.018
1272,-16.334
1273,-5.912
1274,-4.65
1275,-3.909
1276,-6.028
1277,-10.971
1279,-10.288
1280,-13.289
1281,-8.792
1282,-15.968
1283,-14.172
1284,-4.768
1285,-5.853
1286,-5.343
1287,-5.647
1288,-12.239
1289,-13.881
1290,-8.888
1291,-7.787
1292,-12.193
1293,-8.43
1294,-14.818
1295,-3.525
1296,-6.883
1297,-5.173
1298,-7.632
1299,-12.042
1301,-5.106
1302,-8.173
1303,-7.284
1304,-8.424
1305,-8.586
1306,-11.601
1307,-8.016
1308,-8.712
1309,-11.252
1310,-9.213
1311,-17.222
1312,-8.907
1313,-12.43
1314,-6.605
1315,-6.301
1316,-9.881
1317,-9.256
1318,-13.551
1319,-13.277
1321,-12.324
1322,-9.013
1323,-7.548
1324,-5.852
1325,-15.406
1326,-8.287
1327,-5.414
1328,-5.763
1329,-12.565
1330,-14.647
1331,-14.663
1333,-10.015
1334,-12.473
1335,-8.006
1336,-14.179
1337,-10.06
1338,-6.986
1339,-12.972
1340,-5.404
1341,-4.786
1343,-11.291
1344,-17.958
1345,-8.383
1346,-13.05
1347,-4.045
1348,-7.119
1349,-10.527
1350,-9.087
1352,-4.422
1353,-5.041
1354,-8.895
1355,-9.219
1356,-10.846
1357,-5.202
1358,-12.37
1359,-11.477
1360,-11.661
1362,-3.492
1363,-5.698
1364,-5.429
1365,-11.552
1366,-10.201
1367,-4.199
1368,-9.516
1369,-8.758
1370,-12.987
1371,-16.389
1372,-6.176
1373,-13.141
1374,-14.031
1375,-6.033
1376,-6.338
1377,-15.015
1378,-12.347
1379,-6.453
1380,-6.826
1381,-8.096
1382,-13.818
1383,-9.813
1384,-10.38
1385,-13.805
1386,-6.574
1387,-10.247
1388,-13.321
1389,-2.45
1390,-12.852
1391,-8.92
1392,-12.209
1393,-8.913
1394,-3.237
1395,-5.356
1396,-7.164
1397,-7.343
1398,-10.012
1399,-16.196
1400,-15.161
1401,-16.41
1402,-7.594
1403,-5.92
1404,-13.891
1405,-3.723
1406,-4.392
1407,-14.218
1408,-8.844
1409,-8.508
1410,-8.178
1411,-6.265
1412,-6.421
1413,-16.468
1414,-6.735
1415,-11.106
1416,-4.439
1417,-12.797
1418,-16.241
1419,-9.31
1420,-5.612
1421,-3.382
1422,-16.376
1424,-13.753
1426,-6.477
1427,-7.045
1428,-11.241
1429,-9.199
1430,-12.611
1431,-7.29
1433,-14.393
1435,-12.637
1436,-6.671
1437,-6.216
1438,-4.003
1439,-7.359
1440,-7.42
1441,-5.355
1442,-12.891
1443,-8.26
1444,-8.238
1446,-4.487
1447,-16.077
1449,-6.572
1450,-4.773
1451,-7.716
1452,-7.632
1453,-6.209
1454,-8.882
1455,-15.314
1456,-10.69
1457,-9.472
1458,-12.172
1459,-10.786
1460,-7.986
1461,-4.833
1462,-17.772
1463,-10.575
1464,-9.224
1466,-4.952
1467,-3.8
1468,-17.472
1469,-5.967
1470,-9.035
1471,-11.96
1472,-5.15
1473,-6.862
1474,-15.644
1475,-13.341
1476,-15.605
1477,-7.64
1478,-3.198
1479,-8.228
1480,-6.621
1481,-8.274
1482,-11.19
1483,-6.994
1485,-6.51
1486,-5.19
1487,-8.341
1488,-6.465
1489,-10.481
1490,-8.637
1492,-10.164
1493,-11.854
1494,-2.323
1495,-9.89
1496,-11.777
1497,-11.74
1498,-12.354
1499,-5.477
1500,-7.884
1501,-15.404
1502,-18.086
1503,-6.186
1504,-16.765
1505,-13.397
1506,-4.061
1507,-10.815
1508,-11.58
1509,-17.13
1510,-6.828
1512,-13.486
1513,-10.913
1514,-8.559
1515,-8.328
1516,-3.963
1517,-7.848
1518,-5.745
1519,-6.962
1520,-7.094
1521,-5.851
1522,-5.626
1523,-14.904
1524,-2.93
1525,-13.391
1526,-3.663
1527,-8.885
1528,-7.294
1530,-3.693
1531,-11.101
1532,-9.041
1533,-16.067
1535,-8.966
1536,-14.058
1537,-14.213
1538,-6.547
1539,-7.341
1541,-12.634
1542,-8.64
1543,-9.295
1544,-8.502
1545,-11.126
1546,-14.1
1547,-14.199
1548,-3.599
1549,-4.533
1550,-5.73
1551,-16.055
1552,-9.429
1553,-8.285
1554,-5.251
1555,-11.331
1556,-16.375
1557,-17.532
1558,-10.791
1559,-4.678
1560,-11.104
1561,-9.23
1564,-12.067
1565,-9.873
1566,-14.467
1567,-7.121
1568,-6.618
1569,-9.805
1570,-11.906
1571,-12.483
1572,-14.799
1573,-5.184
1574,-9.027
1575,-8.06
1576,-10.96
1577,-6.57
1578,-7.012
1579,-7.345
1580,-8.107
1581,-7.295
1582,-9.793
1583,-9.322
1584,-7.077
1585,-16.889
1586,-9.109
1587,-6.042
1588,-9.992
1589,-3.353
1590,-5.299
1591,-6.359
1592,-4.092
1593,-8.755
1594,-8.901
1595,-10.242
1596,-8.15
1597,-10.537
1598,-5.074
1599,-15.893
1600,-14.361
1602,-11.556
1603,-5.958
1604,-12.935
1605,-12.325
1606,-7.638
1607,-2.895
1608,-13.422
1609,-18.338
1610,-17.425
1611,-4.665
1613,-14.173
1614,-9.505
1615,-12.26
1616,-18.025
1617,-4.459
1619,-3.67
1620,-3.809
1621,-4.403
1622,-15.712
1623,-12.745
1624,-13.358
1625,-9.333
1626,-2.713
1627,-15.354
1628,-8.498
1629,-5.729
1630,-17.081
1631,-17.186
1632,-13.983
1633,-8.525
1634,-6.72
1635,-3.8
1636,-6.778
1637,-6.611
1638,-4.333
1639,-8.977
1641,-6.965
1642,-11.368
1644,-8.963
1646,-9.215
1647,-15.45
1648,-2.182
1649,-11.51
1650,-6.076
1651,-12.011
1652,-5.319
1653,-12.439
1654,-3.478
1655,-2.973
1656,-5.631
1657,-12.008
1658,-14.808
1659,-9.104
1660,-11.401
1661,-8.078
1662,-8.667
1663,-4.774
1664,-8.948
1665,-5.92
1666,-8.147
1667,-17.83
1668,-8.592
1670,-6.297
1671,-8.087
1672,-14.977
1673,-3.394
1674,-12.338
1675,-7.3
1676,-18.105
1677,-6.962
1678,-9.573
1679,-12.455
1681,-16.372
1682,-10.596
1683,-7.551
1685,-16.683
1686,-17.518
1687,-2.98
1688,-8.7
1689,-6.36
1690,-12.407
1691,-5.145
1692,-13.214
1693,-10.27
1694,-14.562
1695,-10.091
1696,-4.347
1697,-4.309
1698,-9.722
1699,-7.242
1700,-8.419
1701,-13.589
1703,-12.626
1704,-8.278
1705,-9.134
1706,-7.51
1707,-11.257
1708,-12.831
1710,-13.558
1711,-17.896
1712,-12.066
1714,-9.783
1715,-11.005
1716,-14.38
1717,-13.411
1718,-8.522
1719,-5.094
1720,-10.906
1721,-7.817
1722,-13.818
1723,-5.145
1724,-6.893
1725,-8.299
1726,-10.061
1727,-5
1728,-8.072
1730,-10.401
1732,-9.909
1733,-12.584
1734,-9.86
1735,-10.478
1736,-9.95
1737,-9.224
1738,-13.01
1739,-4.357
1740,-9.606
1741,-6.259
1742,-5.099
1743,-9.71
1744,-10.587
1746,-11.009
1747,-5.045
1748,-8.688
1749,-13.577
1750,-4.912
1751,-4.739
1752,-10.19
1753,-6.586
1754,-13.149
1755,-10.771
1756,-6.209
1757,-5.497
1758,-4.017
1759,-11.552
1760,-12.446
1761,-8.925
1762,-5.893
1763,-11.485
1764,-10.011
1765,-12.469
1766,-14.957
1767,-5.167
1768,-3.761
1769,-8.183
1770,-11.786
1771,-8.066
1772,-8.351
1773,-12.581
1774,-12.256
1775,-10.256
1776,-4.625
1778,-13.807
1779,-9.29
1780,-4.277
1781,-7.219
1782,-18.473
1783,-4.63
1784,-7.717
1785,-8.523
1786,-14.328
1787,-16.934
1788,-3.968
1789,-13.644
1790,-9.422
1791,-6.682
1792,-4.014
1793,-11.718
1794,-11.957
1795,-9.803
1796,-10.715
1797,-11.91
1798,-13.743
1799,-4.866
1800,-7.113
1801,-7.736
1802,-6.852
1803,-5.603
1804,-5.247
1805,-5.031
1806,-10.294
1807,-3.889
1808,-10.203
1809,-17.471
1810,-5.659
1811,-15.498
1812,-10.328
1813,-16.165
1814,-8.085
1815,-6.407
1816,-3.211
1817,-6.924
1818,-13.666
1819,-12.144
1820,-4.442
1821,-16.486
1822,-11.3
1823,-8.706
1824,-9.502
1825,-12.121
1826,-6.966
1827,-8.273
1828,-5.833
1829,-7.239
1830,-5.676
1831,-7.075
1832,-11.14
1833,-5.189
1834,-7.033
1835,-4.116
1836,-9.464
1837,-8.89
1838,-7.255
1839,-4.694
1840,-16.407
1841,-8.674
1842,-13.522
1843,-14.361
1844,-10.288
1845,-9.298
1846,-11.613
1847,-17.214
1848,-7.401
1849,-7.893
1850,-5.563
1851,-15.018
1852,-8.654
1853,-12.158
1854,-10.215
1855,-7.597
1856,-13.915
1857,-10.187
1858,-8.247
1859,-9.368
